Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,_ru_s_,cruise,old,,,,,0,6,6,6,,,,,101.73061809991486,101.73061809991486,101.73061809991486,0.0034489999525249004,,cruise,[-0.041666666666666664],[-0.3138888888888889],[1],[0],[0],[6.428154499968514],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,T_hi_t,Tshirt,old,,,,,0,7,7,2,,,,,108.16402849997394,108.16402849997394,108.16402849997394,0.0029169998597353697,,t shirt,[-0.02361111111111111],[-0.31805555555555554],[1],[0],[0],[6.995965600013733],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,p_nc_l,pencil,new,,,,,0,8,8,16,,,,,115.16384589998052,115.16384589998052,115.16384589998052,0.0028789998032152653,,pencil,[-0.03194444444444444],[-0.30972222222222223],[1],[0],[0],[5.212391800014302],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,bo_t_e,bottle,new,,,,,0,9,9,18,,,,,120.39786139992066,120.39786139992066,120.39786139992066,0.0045733998995274305,,bottle,[-0.009722222222222222],[-0.3236111111111111],[1],[0],[0],[9.393489199923351],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,c_m_ra,camera,new,,,,,0,10,10,19,,,,,129.79727219999768,129.79727219999768,129.79727219999768,0.00485659996047616,,camera,[0.001388888888888889],[-0.2972222222222222],[1],[0],[0],[4.043199300067499],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,c_s_,case,old,,,,,0,11,11,5,,,,,133.8473619997967,133.8473619997967,133.8473619997967,0.00407429994083941,,case,[-0.004166666666666667],[-0.30416666666666664],[1],[0],[0],[6.226833299966529],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,c_s_io_,cushion,old,,,,,0,12,12,14,,,,,140.06289679999463,140.06289679999463,140.06289679999463,0.0028552000876516104,,cushion,[-0.006944444444444444],[-0.30972222222222223],[1],[0],[0],[7.479895500000566],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,p_li_e,police,old,,,,,0,13,13,7,,,,,147.5461962998379,147.5461962998379,147.5461962998379,0.0028930997941643,,police,[-0.05138888888888889],[-0.3013888888888889],[1],[0],[0],[5.228929499862716],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,_o_rd,board,old,,,,,0,14,14,10,,,,,152.77978509990498,152.77978509990498,152.77978509990498,0.002736700000241399,162.77999369986355,board,[0.025],[-0.30694444444444446],[1],[0],[0],[22.012712399940938],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,_ho_e,phone,old,,,,,0,15,15,12,,,,,174.81315549998544,174.81315549998544,174.81315549998544,0.005008599953725934,,whole,[-0.027777777777777776],[-0.30972222222222223],[1],[0],[0],[8.426200999878347],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,l_pt_p,laptop,old ,,,,,0,16,16,0,,,,,183.2463402999565,183.2463402999565,183.2463402999565,0.0046057000290602446,,laptop,[-0.019444444444444445],[-0.30972222222222223],[1],[0],[0],[5.010088999988511],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,k_y_,keys,old,,,,,0,17,17,8,,,,,188.2629305999726,188.2629305999726,188.2629305999726,0.004338700091466308,,keys,[0.001388888888888889],[-0.30416666666666664],[1],[0],[0],[4.743163499981165],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,_a_bl_,marble,old,,,,,0,18,18,11,,,,,193.01289859996177,193.01289859996177,193.01289859996177,0.0045316999312490225,,table,[-0.008333333333333333],[-0.2986111111111111],[1],[0],[0],[6.176319499965757],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
,ta_l_,table,new,,,,,0,19,19,15,,,,,199.17848759982735,199.17848759982735,199.17848759982735,0.003136400133371353,,table,[0.005555555555555556],[-0.31666666666666665],[1],[0],[0],[6.395473800133914],['submit_text'],269924,001,2023-10-05_21h38.47.447,word_priming_exp,2023.1.3,59.735015484178,
